,Subject,Condition,Correct,ReactionTime
0,1,Medium,1,756
1,1,Hard,1,756
2,1,Easy,1,757
3,1,Easy,1,758
4,1,Medium,0,759
5,1,Medium,1,764
6,1,Hard,1,767
7,1,Medium,1,769
8,1,Easy,1,818
9,1,Easy,1,825
10,1,Easy,1,825
11,1,Medium,1,830
12,1,Easy,0,831
13,1,Easy,1,832
14,1,Medium,0,834
15,1,Hard,1,861
16,1,Easy,1,864
17,1,Easy,1,864
18,1,Hard,1,866
19,1,Medium,1,867
20,1,Easy,0,869
21,1,Medium,1,870
22,1,Medium,1,873
23,1,Medium,1,876
24,1,Hard,1,877
25,1,Medium,1,883
26,1,Medium,1,885
27,1,Medium,1,887
28,1,Hard,1,887
29,1,Medium,1,893
30,1,Easy,0,895
31,1,Hard,1,896
32,1,Easy,0,898
33,1,Hard,1,902
34,1,Hard,0,903
35,1,Medium,1,905
36,1,Easy,0,908
37,1,Medium,1,911
38,1,Easy,1,912
39,1,Medium,0,912
40,1,Medium,0,914
41,1,Easy,1,917
42,1,Medium,1,921
43,1,Easy,0,921
44,1,Hard,1,921
45,1,Easy,0,921
46,1,Hard,1,922
47,1,Easy,1,923
48,1,Hard,0,923
49,1,Medium,0,925
50,1,Easy,1,926
51,1,Easy,1,926
52,1,Hard,1,926
53,1,Easy,0,928
54,1,Hard,0,930
55,1,Hard,0,931
56,1,Medium,1,932
57,1,Hard,1,933
58,1,Easy,1,933
59,1,Hard,0,934
60,1,Medium,0,935
61,1,Easy,1,936
62,1,Medium,1,950
63,1,Medium,1,951
64,1,Hard,0,951
65,1,Easy,1,958
66,1,Medium,1,959
67,1,Easy,1,961
68,1,Easy,1,961
69,1,Medium,1,963
70,1,Easy,1,964
71,1,Easy,0,968
72,1,Easy,0,970
73,1,Medium,1,975
74,1,Easy,0,979
75,1,Medium,1,982
76,1,Hard,1,984
77,1,Easy,0,984
78,1,Hard,0,984
79,1,Medium,1,986
80,1,Medium,0,987
81,1,Hard,0,987
82,1,Hard,1,988
83,1,Medium,1,990
84,1,Easy,0,991
85,1,Hard,1,996
86,1,Easy,1,998
87,1,Easy,1,1002
88,1,Hard,0,1002
89,1,Medium,0,1007
90,1,Medium,0,1007
91,1,Hard,1,1008
92,1,Easy,0,1009
93,1,Medium,1,1011
94,1,Hard,0,1012
95,1,Medium,1,1013
96,1,Medium,1,1015
97,1,Medium,0,1019
98,1,Easy,1,1020
99,1,Medium,0,1021
100,1,Hard,1,1021
101,1,Hard,1,1021
102,1,Medium,1,1022
103,1,Easy,0,1023
104,1,Hard,1,1025
105,1,Easy,1,1025
106,1,Easy,1,1025
107,1,Medium,1,1026
108,1,Medium,1,1026
109,1,Easy,1,1027
110,1,Medium,0,1030
